,alpha
717,-1
17132,1
7679,1
4318,0
1067,-1
12736,0
7970,0
15331,0
5639,1
4965,-1
3444,1
7179,1
4772,1
14825,1
12350,0
4172,0
2977,0
12645,1
192,1
6272,0
2625,0
9436,-1
11121,0
14070,1
1331,1
174,0
8203,1
10316,1
8222,1
4096,0
7553,1
12988,1
8190,0
13713,0
13762,0
15746,1
577,1
10499,0
12348,1
8718,1
13461,0
7793,1
3080,1
4408,1
9430,0
1311,0
7365,-1
13465,1
14632,0
15012,1
6964,0
1566,1
1534,-1
2302,1
16571,1
14767,0
14206,0
5474,0
7481,-1
11889,0
15955,1
14561,-1
2815,1
11344,1
367,-1
13850,-1
634,1
2857,0
1671,0
7345,1
2541,0
14340,-1
8988,1
12869,1
17266,1
11351,-1
3944,1
5035,1
16714,1
2077,-1
6353,0
11066,1
10626,0
15932,1
4358,-1
1940,1
1861,0
16579,1
4719,-1
3327,1
16834,1
2293,-1
123,1
5127,0
16750,0
6215,0
6103,0
4622,0
5921,1
4825,0
8966,0
12068,1
10493,1
16194,1
2283,1
547,1
10254,1
2373,-1
2389,0
12691,0
9053,1
9178,0
11471,1
3769,1
12787,1
14264,1
11035,1
3046,1
204,0
8614,0
6126,0
15287,1
7004,0
8309,1
14311,-1
5158,0
6089,-1
9347,-1
13615,1
17433,1
13479,-1
997,-1
7828,0
6233,1
14072,1
16330,1
9692,0
7255,0
15208,0
13603,1
5916,0
15465,0
2510,0
741,-1
3752,-1
7299,-1
9396,1
7153,1
10573,0
