,alpha
14095,-1
14430,1
16061,1
392,-1
13382,0
10193,0
16320,1
12217,0
6649,0
11636,0
15469,-1
11176,0
14378,0
7969,0
15495,1
1614,-1
16828,1
1637,-1
8992,1
1321,0
13657,1
5272,-1
11829,1
3801,0
3872,-1
7953,0
5708,0
6332,-1
12821,-1
13601,1
4032,-1
14414,-1
7931,0
16849,-1
14407,-1
12391,-1
9677,1
11250,-1
6662,-1
1858,0
6073,-1
2633,0
9081,0
7959,-1
16810,-1
2270,1
6674,1
13316,1
13598,0
14963,1
1391,1
15225,1
371,-1
4920,-1
2329,-1
17010,1
13003,1
9438,-1
7805,0
8252,1
1169,0
3252,-1
2487,1
15076,1
17555,-1
7333,-1
14437,-1
8056,-1
11703,1
88,1
11933,1
6036,0
2246,1
5348,1
13779,-1
2168,0
12689,1
3527,-1
1902,-1
4457,-1
4389,1
9671,1
894,1
13896,1
3562,-1
2698,0
717,-1
17132,-1
7679,0
4318,0
1067,-1
12736,1
7970,1
15331,1
5639,1
4965,0
3444,-1
7179,0
4772,1
14825,-1
12350,0
4172,0
2977,1
12645,1
192,1
6272,0
2625,0
9436,1
11121,-1
14070,-1
1331,-1
174,1
8203,0
10316,-1
8222,-1
4096,0
7553,-1
12988,0
8190,1
13713,1
13762,0
15746,1
577,-1
10499,0
12348,1
8718,-1
13461,0
7793,-1
3080,0
4408,1
9430,-1
1311,0
7365,1
13465,-1
14632,1
15012,-1
6964,1
1566,-1
1534,1
2302,1
16571,0
14767,0
14206,0
5474,-1
7481,0
11889,1
15955,-1
14561,1
2815,1
11344,-1
367,1
13850,0
634,1
2857,0
1671,-1
7345,-1
