,alpha
12793,1
12794,1
12795,0
12796,-1
12797,-1
12798,1
12799,-1
12800,-1
12801,-1
12802,-1
12803,0
12804,1
12805,-1
12806,0
12807,1
12808,1
12809,0
12810,-1
12811,-1
12812,1
12813,-1
12814,-1
12815,1
12816,1
12817,1
12818,-1
12819,1
12820,-1
12821,-1
12822,1
12823,0
12824,-1
12825,0
12826,-1
12827,0
12828,1
12829,-1
12830,-1
12831,-1
12832,1
12833,-1
12834,-1
12835,0
12836,-1
12837,-1
12838,0
12839,0
12840,1
12841,0
12842,1
12843,-1
12844,-1
12845,-1
12846,-1
12847,1
12848,-1
12849,1
12850,-1
12851,-1
12852,1
12853,0
12854,1
12855,-1
12856,1
12857,-1
12858,-1
12859,-1
12860,0
12861,-1
12862,-1
12863,1
12864,-1
12865,-1
12866,1
12867,-1
12868,-1
12869,0
12870,-1
12871,-1
12872,-1
12873,1
12874,-1
12875,1
12876,1
12877,-1
12878,0
12879,-1
12880,1
12881,1
12882,1
12883,1
12884,1
12885,-1
12886,1
12887,-1
12888,1
12889,-1
12890,1
12891,-1
12892,1
12893,-1
12894,-1
12895,1
12896,1
12897,-1
12898,-1
12899,-1
12900,1
12901,1
12902,1
12903,1
12904,0
12905,1
12906,1
12907,-1
12908,1
12909,-1
12910,1
12911,-1
12912,1
12913,0
12914,1
12915,-1
12916,-1
12917,-1
12918,-1
12919,1
12920,-1
12921,1
12922,-1
12923,-1
12924,-1
12925,-1
12926,1
12927,1
12928,0
12929,0
12930,-1
12931,-1
12932,0
12933,-1
12934,-1
12935,1
12936,0
12937,1
12938,-1
12939,1
12940,1
12941,1
12942,-1
12943,-1
12944,0
12945,-1
12946,-1
12947,1
12948,1
12949,1
12950,1
12951,-1
12952,-1
12953,-1
12954,1
12955,-1
12956,1
12957,-1
12958,-1
12959,-1
12960,-1
12961,1
12962,-1
12963,-1
12964,1
12965,-1
12966,-1
12967,-1
12968,1
12969,0
12970,-1
12971,1
12972,-1
12973,1
12974,1
12975,0
12976,-1
12977,-1
12978,-1
12979,1
12980,-1
12981,1
12982,-1
12983,-1
12984,-1
12985,0
12986,0
12987,-1
12988,-1
12989,-1
12990,-1
12991,1
12992,-1
12993,1
12994,-1
12995,0
12996,0
12997,-1
12998,-1
12999,1
13000,1
13001,0
13002,-1
13003,1
13004,-1
13005,-1
13006,1
13007,1
13008,-1
13009,1
13010,-1
13011,0
13012,-1
13013,-1
13014,-1
13015,-1
13016,-1
13017,1
13018,1
13019,1
13020,1
13021,0
13022,0
13023,-1
13024,1
13025,0
13026,-1
13027,-1
13028,1
13029,1
13030,-1
13031,-1
13032,1
13033,-1
13034,-1
13035,1
13036,-1
13037,-1
13038,0
13039,-1
13040,1
13041,-1
13042,-1
13043,1
13044,0
13045,1
13046,-1
13047,0
13048,-1
13049,-1
13050,0
13051,0
13052,1
13053,-1
13054,0
13055,1
13056,-1
13057,1
13058,1
13059,-1
13060,-1
13061,-1
13062,-1
13063,-1
13064,1
13065,-1
13066,1
13067,1
13068,1
13069,0
13070,1
13071,1
13072,1
13073,0
13074,1
13075,0
13076,0
13077,0
13078,-1
13079,0
13080,1
13081,0
13082,-1
13083,-1
13084,0
13085,0
13086,1
13087,1
13088,0
13089,1
13090,1
13091,0
13092,1
13093,-1
13094,0
13095,0
13096,0
13097,-1
13098,-1
13099,1
13100,1
13101,0
13102,0
13103,1
13104,1
13105,-1
13106,1
13107,-1
13108,1
13109,-1
13110,1
13111,0
13112,1
13113,-1
13114,-1
13115,0
13116,0
13117,0
13118,1
13119,-1
13120,0
13121,-1
13122,-1
13123,-1
13124,1
13125,1
13126,-1
13127,0
13128,1
13129,1
13130,0
13131,-1
13132,-1
13133,1
13134,-1
13135,-1
13136,0
13137,0
13138,-1
13139,0
13140,0
13141,1
13142,-1
13143,-1
13144,-1
13145,0
13146,0
13147,0
13148,0
13149,-1
13150,0
13151,0
13152,0
13153,-1
13154,0
13155,0
13156,-1
13157,0
13158,0
13159,0
13160,0
13161,1
13162,0
13163,1
13164,0
13165,1
13166,1
13167,-1
13168,0
13169,-1
13170,-1
13171,-1
13172,0
13173,0
13174,-1
13175,0
13176,-1
13177,0
13178,-1
13179,-1
13180,0
13181,0
13182,1
13183,1
13184,1
13185,0
13186,0
13187,1
13188,-1
13189,-1
13190,0
13191,0
13192,1
13193,-1
13194,0
13195,0
13196,0
13197,-1
13198,-1
13199,0
13200,1
13201,0
13202,1
13203,-1
