,alpha
12627,1
12628,1
12629,-1
12630,0
12631,-1
12632,1
12633,-1
12634,0
12635,-1
12636,0
12637,0
12638,0
12639,0
12640,0
12641,0
12642,-1
12643,0
12644,-1
12645,0
12646,0
12647,1
12648,1
12649,-1
12650,1
12651,1
12652,-1
12653,0
12654,-1
12655,1
12656,1
12657,1
12658,1
12659,0
12660,0
12661,1
12662,1
12663,1
12664,-1
12665,-1
12666,-1
12667,-1
12668,1
12669,0
12670,-1
12671,0
12672,0
12673,0
12674,0
12675,1
12676,0
12677,0
12678,0
12679,0
12680,0
12681,-1
12682,1
12683,0
12684,0
12685,1
12686,0
12687,0
12688,0
12689,-1
12690,-1
12691,0
12692,1
12693,0
12694,1
12695,1
12696,0
12697,0
12698,-1
12699,0
12700,-1
12701,0
12702,1
12703,0
12704,-1
12705,0
12706,-1
12707,1
12708,-1
12709,-1
12710,0
12711,-1
12712,1
12713,0
12714,0
12715,0
12716,1
12717,0
12718,-1
12719,1
12720,0
12721,0
12722,1
12723,-1
12724,-1
12725,0
12726,1
12727,-1
12728,1
12729,-1
12730,1
12731,0
12732,1
12733,0
12734,1
12735,0
12736,0
12737,0
12738,-1
12739,0
12740,-1
12741,0
12742,1
12743,0
12744,-1
12745,1
12746,1
12747,-1
12748,1
12749,-1
12750,0
12751,1
12752,-1
12753,1
12754,0
12755,0
12756,-1
12757,-1
12758,1
12759,1
12760,0
12761,-1
12762,-1
12763,0
12764,1
12765,0
12766,0
12767,-1
12768,0
12769,-1
12770,0
12771,0
12772,0
12773,-1
12774,1
12775,-1
12776,1
12777,0
12778,0
12779,0
12780,0
12781,1
12782,0
12783,0
12784,1
12785,-1
12786,-1
12787,-1
12788,1
12789,-1
12790,-1
12791,0
12792,0
12793,-1
12794,-1
12795,1
12796,-1
12797,0
12798,1
12799,1
12800,1
12801,-1
12802,0
12803,-1
12804,-1
12805,1
12806,0
12807,0
12808,-1
12809,0
12810,-1
12811,-1
12812,1
12813,1
12814,0
12815,-1
12816,0
12817,1
12818,-1
12819,0
12820,-1
12821,0
12822,0
12823,0
12824,1
12825,0
12826,0
12827,-1
12828,0
12829,-1
12830,-1
12831,-1
12832,-1
12833,0
12834,0
12835,0
12836,0
12837,1
12838,-1
12839,0
12840,0
12841,-1
12842,1
12843,-1
12844,0
12845,-1
12846,1
12847,1
12848,-1
12849,0
12850,0
12851,0
12852,1
12853,0
12854,0
12855,0
12856,1
12857,1
12858,1
12859,0
12860,1
12861,0
12862,-1
12863,0
12864,-1
12865,0
12866,0
12867,-1
12868,-1
12869,-1
12870,0
12871,0
12872,-1
12873,1
12874,-1
12875,-1
12876,-1
12877,1
12878,-1
12879,0
12880,1
12881,1
12882,0
12883,-1
12884,0
12885,0
12886,-1
12887,-1
12888,-1
12889,-1
12890,-1
12891,-1
12892,0
12893,-1
12894,-1
12895,0
12896,0
12897,-1
12898,-1
12899,-1
12900,-1
12901,-1
12902,0
12903,0
12904,0
12905,0
12906,-1
12907,-1
12908,-1
12909,1
12910,-1
12911,1
12912,0
12913,0
12914,1
12915,0
12916,-1
12917,-1
12918,1
12919,0
12920,0
12921,-1
12922,0
12923,-1
12924,0
12925,1
12926,-1
12927,1
12928,0
12929,0
12930,0
12931,0
12932,0
12933,1
12934,-1
12935,0
12936,1
12937,-1
12938,1
12939,1
12940,0
12941,-1
12942,0
12943,0
12944,1
12945,0
12946,1
12947,0
12948,1
12949,0
12950,0
12951,-1
12952,-1
12953,1
12954,0
12955,-1
12956,1
12957,0
12958,1
12959,1
12960,-1
12961,0
12962,1
12963,0
12964,-1
12965,-1
12966,-1
12967,0
12968,-1
12969,0
12970,0
12971,1
12972,0
12973,1
12974,0
12975,-1
12976,0
12977,1
12978,1
12979,1
12980,-1
12981,-1
12982,1
12983,1
12984,1
12985,0
12986,-1
12987,0
12988,-1
12989,0
12990,1
12991,1
12992,0
12993,-1
12994,0
12995,-1
12996,-1
12997,-1
12998,0
12999,0
13000,0
13001,-1
13002,0
13003,0
13004,0
13005,1
13006,0
13007,1
13008,0
13009,-1
13010,0
13011,0
13012,1
13013,0
13014,0
13015,1
13016,1
13017,1
13018,1
13019,0
13020,-1
13021,-1
13022,0
13023,0
13024,0
13025,0
13026,0
13027,0
13028,0
13029,1
13030,-1
13031,0
13032,-1
13033,0
13034,1
13035,-1
13036,1
13037,-1
13038,-1
13039,0
13040,1
13041,0
13042,-1
13043,-1
13044,0
13045,-1
13046,-1
13047,-1
13048,-1
13049,0
13050,0
13051,0
13052,1
13053,0
13054,1
13055,-1
13056,0
13057,-1
13058,-1
13059,0
13060,0
13061,-1
13062,1
13063,1
13064,0
13065,0
13066,-1
13067,0
13068,-1
13069,0
13070,0
13071,0
13072,0
13073,0
13074,-1
13075,-1
13076,-1
13077,-1
13078,-1
13079,0
13080,-1
13081,0
13082,-1
13083,-1
13084,1
13085,-1
13086,0
13087,0
13088,0
13089,-1
13090,-1
13091,-1
13092,1
13093,0
13094,-1
13095,0
13096,0
13097,-1
13098,-1
13099,0
13100,-1
13101,0
13102,1
13103,1
13104,0
13105,0
13106,-1
13107,-1
13108,0
13109,-1
13110,0
13111,-1
13112,-1
13113,0
13114,0
13115,0
13116,0
13117,-1
13118,1
13119,-1
13120,0
13121,0
13122,0
13123,-1
13124,-1
13125,0
13126,1
13127,1
13128,0
13129,0
13130,-1
13131,0
13132,0
13133,1
13134,1
13135,0
13136,0
13137,0
13138,-1
13139,-1
13140,0
13141,1
13142,-1
13143,-1
13144,0
13145,0
13146,0
13147,1
13148,-1
13149,0
13150,0
13151,0
13152,0
13153,-1
13154,1
13155,0
13156,0
13157,0
13158,1
13159,1
13160,0
13161,0
13162,0
13163,-1
13164,0
13165,1
13166,1
13167,-1
13168,0
13169,-1
13170,0
13171,-1
13172,1
13173,-1
13174,0
13175,-1
13176,0
13177,0
13178,0
13179,1
13180,-1
13181,1
13182,-1
13183,0
13184,0
13185,0
13186,0
13187,0
13188,-1
13189,0
13190,1
13191,0
13192,-1
13193,-1
13194,-1
13195,0
13196,0
13197,-1
13198,-1
13199,0
13200,-1
13201,0
13202,-1
13203,0
13204,0
13205,1
13206,0
13207,1
13208,1
13209,-1
13210,0
13211,1
13212,0
13213,0
13214,0
13215,0
13216,1
13217,1
13218,0
13219,1
13220,-1
13221,1
13222,-1
13223,0
13224,0
13225,-1
13226,1
13227,0
13228,0
13229,-1
13230,1
13231,0
13232,0
